subject,oddballtype,recall,sp,pfr
38,Emotional,remembered,11,0
39,Emotional,remembered,11,0.0625
40,Emotional,remembered,11,0
41,Emotional,remembered,11,0.142857142857143
42,Emotional,remembered,11,0.2
43,Emotional,remembered,11,0
44,Emotional,remembered,11,0
45,Emotional,remembered,11,0.2
46,Emotional,remembered,11,0.0833333333333333
47,Emotional,remembered,11,0.0666666666666667
48,Emotional,remembered,11,0
49,Emotional,remembered,11,0
50,Emotional,remembered,11,0
51,Emotional,remembered,11,0
52,Emotional,remembered,11,0.153846153846154
53,Emotional,remembered,11,0.166666666666667
54,Emotional,remembered,11,0
55,Emotional,remembered,11,0.1
56,Emotional,remembered,11,0
57,Emotional,remembered,11,0
58,Emotional,remembered,11,0.0714285714285714
59,Emotional,remembered,11,0
60,Emotional,remembered,11,0.0769230769230769
61,Emotional,remembered,11,0.1
62,Emotional,remembered,11,0
63,Emotional,remembered,11,0.0909090909090909
64,Emotional,remembered,11,0.0714285714285714
65,Emotional,remembered,11,0.111111111111111
66,Emotional,remembered,11,0
67,Emotional,remembered,11,0.0714285714285714
68,Emotional,remembered,11,0
69,Emotional,remembered,11,0
70,Emotional,remembered,11,0.1
71,Emotional,remembered,11,0
72,Emotional,remembered,11,0
73,Emotional,remembered,11,0
74,Emotional,remembered,11,0.25
